# Reserved Words                Implemented
GOBACK                          Yes
GREATER                         Yes
GRID                            Yes
GROUP                           Yes
GROUP-USAGE                     No
HANDLE                          No
HEADING                         Yes
HIGH-VALUE                      Yes
HIGH-VALUES                     Yes
HIGHLIGHT                       Yes
I-O                             Yes
I-O-CONTROL                     Yes
ID                              Yes
IDENTIFICATION                  Yes
IF                              Yes
IGNORE                          Yes
IGNORING                        Yes (Context sensitive)
IMPLEMENTS                      No (Context sensitive)
IN                              Yes
INDEX                           Yes
INDEXED                         Yes
INDICATE                        Yes
INHERITS                        No
INITIAL                         Yes
INITIALISE                      Yes
INITIALISED                     Yes
INITIALIZE                      Yes
INITIALIZED                     Yes
INITIATE                        Yes
INPUT                           Yes
INPUT-OUTPUT                    Yes
INSPECT                         Yes
INTERFACE                       No
INTERFACE-ID                    No
INTERMEDIATE                    No (Context sensitive)
INTO                            Yes
INTRINSIC                       Yes (Context sensitive)
INVALID                         Yes
INVOKE                          No
IS                              Yes
JUST                            Yes
JUSTIFIED                       Yes
KEPT                            Yes
KEY                             Yes
KEYBOARD                        Yes (Context sensitive)
LABEL                           Yes
LAST                            Yes
LC_ALL                          No (Context sensitive)
LC_COLLATE                      No (Context sensitive)
LC_CTYPE                        No (Context sensitive)
LC_MESSAGES                     No (Context sensitive)
LC_MONETARY                     No (Context sensitive)
LC_NUMERIC                      No (Context sensitive)
LC_TIME                         No (Context sensitive)
LEADING                         Yes
LEFT                            Yes
LEFT-JUSTIFY                    No
LEFTLINE                        Yes
LENGTH                          Yes
LENGTH-CHECK                    Yes
LESS                            Yes
LIMIT                           Yes
LIMITS                          Yes
LINAGE                          Yes
LINAGE-COUNTER                  Yes
LINE                            Yes
LINE-COUNTER                    Yes
LINES                           Yes
LINKAGE                         Yes
LOCAL-STORAGE                   Yes
LOCALE                          Yes
LOCK                            Yes
LOW-VALUE                       Yes
LOW-VALUES                      Yes
LOWER                           Yes (Context sensitive)
LOWLIGHT                        Yes
MAGNETIC-TAPE                   Yes (Context sensitive)
MANUAL                          Yes
MEMORY                          Yes
MERGE                           Yes
MESSAGE                         Yes
METHOD                          No
METHOD-ID                       No
MINUS                           Yes
MODE                            Yes
MOVE                            Yes
MULTIPLE                        Yes
MULTIPLY                        Yes
NAME                            Yes (Context sensitive)
NATIONAL                        Yes
NATIONAL-EDITED                 Yes
NATIVE                          Yes
NEAREST-AWAY-FROM-ZERO          Yes (Context sensitive)
NEAREST-EVEN                    Yes (Context sensitive)
NEAREST-TOWARD-ZERO             Yes (Context sensitive)
NEGATIVE                        Yes
NESTED                          No
NEXT                            Yes
NO                              Yes
NO-ECHO                         Yes
NONE                            No (Context sensitive)
